name,playerId,firstName,lastName,birthDate,height,weight (lbs),highSchool,highSchoolState,homeTown,homeState,homeCountry,nationality,photoUrl,currentTeam,league,leagueType,ESPN Rank,Sam Vecenie Rank,Kevin O'Connor Rank,Kyle Boone Rank,Gary Parrish Rank,heightNoShoes,heightShoes,wingspan (in),reach,max vertical (in),noStepVertical,weight_y,bodyFat,handLength,handWidth,agility (s),sprint (s),shuttleLeft,shuttleRight,shuttle best (s)
Cooper Flagg,170531,Cooper,Flagg,2006-12-21,6 ft 9 in,209,Montverde,FL,New Portland,ME,USA,USA,https://www.draftexpress.com/blue/images/headshots/1/1009521_750.jpg,Duke,NCAA D-I,NCAA,1,1.0,1.0,1.0,1.0,79.75,81.0,84.0,106.5,35.5,29.0,221.0,,8.75,9.75,10.64,3.3,,,2.95
Dylan Harper,161608,Dylan,Harper,2006-03-02,6 ft 6 in,215,Don Bosco Preparatory HS,NJ,Franklin Lakes,NJ,USA,USA,https://www.draftexpress.com/blue/images/headshots/8/1007566_750.jpg,Rutgers,NCAA D-I,NCAA,2,2.0,2.0,2.0,2.0,76.5,77.75,82.5,102.0,36.5,30.5,213.0,,9.25,9.25,11.07,3.16,,,3.05
Ace Bailey,161710,Ace,Bailey,2006-08-13,6 ft 10 in,210,McEachern HS,GA,Chattanooga,TN,USA,USA,,Rutgers,NCAA D-I,NCAA,3,4.0,3.0,3.0,5.0,79.5,80.75,84.5,107.0,34.5,27.5,203.0,,8.5,9.0,10.97,3.12,,,2.81
VJ Edgecombe,181834,VJ,Edgecombe,2005-07-30,6 ft 5 in,188,Long Island Lutheran HS,NY,Alice Town,,Bahamas,Bahamas,https://www.draftexpress.com/blue/images/headshots/4/1009608_750.jpg,Baylor,NCAA D-I,NCAA,4,3.0,4.0,5.0,4.0,76.0,77.25,79.5,101.5,38.5,30.0,193.0,,8.5,9.5,11.27,3.2,,,2.97
Kasparas Jakucionis,140378,Kasparas,Jakucionis,2006-05-29,6 ft 6 in,205,,,Vilnius,,Lithuania,Lithuania,https://www.draftexpress.com/blue/images/headshots/8/1010668_750.jpg,Illinois,NCAA D-I,NCAA,5,5.0,7.0,9.0,7.0,76.75,78.0,79.75,100.0,35.0,28.5,205.0,,8.5,9.75,10.99,3.22,,,2.83
Kon Knueppel,161852,Kon,Knueppel,2005-08-03,6 ft 7 in,210,Wisconsin Lutheran HS,WI,Milwaukee,WI,USA,USA,https://www.draftexpress.com/blue/images/headshots/2/1009439_750.jpg,Duke,NCAA D-I,NCAA,6,6.0,9.0,6.0,6.0,77.0,78.25,78.25,101.5,39.0,33.0,219.0,,8.5,9.75,10.53,3.12,,,3.02
Khaman Maluach,164614,Khaman,Maluach,2006-09-14,7 ft 2 in,250,NBA Academy Africa,,Juba,,South Sudan,South Sudan,https://www.draftexpress.com/blue/images/headshots/4/1010672_750.jpg,Duke,NCAA D-I,NCAA,7,14.0,10.0,10.0,12.0,84.75,86.0,90.75,114.0,30.0,24.0,253.0,,9.75,10.25,12.05,3.5,,,3.5
Egor Demin,138145,Egor,Demin,2006-03-03,6 ft 9 in,202,,,Moscow,,Russia,Russia,https://www.draftexpress.com/blue/images/headshots/5/1010273_750.jpg,BYU,NCAA D-I,NCAA,8,21.0,13.0,14.0,17.0,80.25,81.5,82.25,105.5,32.0,26.5,199.0,,8.25,9.25,11.31,3.33,,,2.98
Jeremiah Fears,183971,Jeremiah,Fears,2006-10-14,6 ft 4 in,182,AZ Compass Prep,AZ,Joliet,IL,USA,USA,,Oklahoma,NCAA D-I,NCAA,9,13.0,11.0,7.0,8.0,74.5,75.75,77.25,98.5,36.5,32.5,180.0,,8.25,9.25,10.95,3.05,,,3.12
Derik Queen,158352,Derik,Queen,2004-12-27,6 ft 10 in,246,Montverde,FL,Baltimore,MD,USA,USA,https://www.draftexpress.com/blue/images/headshots/2/1009523_750.jpg,Maryland,NCAA D-I,NCAA,10,9.0,8.0,11.0,9.0,81.25,82.5,84.5,109.5,28.0,23.5,248.0,,9.25,9.75,12.45,3.52,,,3.33
Tre Johnson,162155,Tre,Johnson,2006-03-07,6 ft 6 in,190,Link Year,MO,Garland,TX,USA,USA,https://www.draftexpress.com/blue/images/headshots/5/1010675_750.jpg,Texas,NCAA D-I,NCAA,11,7.0,6.0,4.0,3.0,76.75,78.0,82.25,101.0,37.5,32.0,190.0,,8.5,8.0,10.49,3.28,,,3.14
Joan Beringer,182192,Joan,Beringer,2006-11-11,6 ft 11 in,236,,,Selestat,,France,France,,Cedevita Olimpija,Slovenia - SKL,Pro,12,19.0,19.0,,20.0,81.5,82.75,,,,,,,,,,,,,
Nolan Traore,141122,Nolan,Traore,2006-05-28,6 ft 5 in,184,,,Creteil,,France,France,https://www.draftexpress.com/blue/images/headshots/2/1010670_750.jpg,Saint Quentin,France - Pro B,Pro,13,16.0,17.0,19.0,21.0,75.75,77.0,80.0,102.25,34.5,28.3,184.0,,8.0,8.75,10.7,3.25,,,
Liam McNeeley,159895,Liam,McNeeley,2005-10-10,6 ft 7 in,209,Montverde,FL,Richardson,TX,USA,USA,https://www.draftexpress.com/blue/images/headshots/5/1009527_750.jpg,Connecticut,NCAA D-I,NCAA,14,11.0,16.0,13.0,13.0,78.75,80.0,80.5,100.0,36.5,30.5,215.0,,8.75,10.0,11.11,3.16,,,2.8
Hugo Gonzalez,141473,Hugo,Gonzalez,2006-02-05,6 ft 7 in,190,,,Madrid,,Spain,Spain,https://www.draftexpress.com/blue/images/headshots/3/1010274_750.jpg,Real Madrid,Spain - ACB,Pro,15,25.0,26.0,23.0,25.0,,,,,,,,,,,,,,,
Danny Wolf,153927,Danny,Wolf,2004-05-06,7 ft 0 in,255,Northfield Mount Hermon School,MA,Glencoe,IL,USA,Israel,https://www.draftexpress.com/blue/images/headshots/7/1010458_750.jpg,Michigan,NCAA D-I,NCAA,16,30.0,20.0,20.0,16.0,82.5,83.75,86.25,109.0,30.0,24.0,252.0,,9.25,9.75,11.26,3.51,,,3.0
Ben Saraf,162876,Ben,Saraf,2006-04-14,6 ft 6 in,202,,,Netanya,,Israel,Israel,,Ratiopharm Ulm,Germany - BBL,Pro,17,20.0,27.0,28.0,24.0,77.0,78.25,79.5,102.0,31.5,27.0,202.0,,8.0,8.75,11.75,3.54,,,
Collin Murray-Boyles,171552,Collin,Murray-Boyles,2005-06-10,6 ft 8 in,245,Wasatch Academy,UT,Columbia,SC,USA,USA,https://www.draftexpress.com/blue/images/headshots/2/1009573_750.jpg,South Carolina,NCAA D-I,NCAA,18,8.0,5.0,15.0,11.0,78.5,79.75,84.75,106.5,34.5,29.5,239.0,,8.5,10.25,11.21,3.15,,,2.92
Noa Essengue,141110,Noa,Essengue,2006-12-18,6 ft 10 in,198,,,Orleans,,France,France,https://www.draftexpress.com/blue/images/headshots/0/1010669_750.jpg,Ratiopharm Ulm,Germany - BBL,Pro,19,18.0,15.0,22.0,19.0,81.0,82.25,83.0,111.25,35.5,27.3,198.0,,9.0,10.25,10.66,3.35,,,
